,user_id,bucket
0,C6758D692A850E4C67B2763B66D1CFA8,0
1,5FF622786FB4924A067BD44D4B717570,1
2,E5D1B83B0E02FAFF871EEEF276D18132,2
3,D6B8AAD592D596C1A2DBA7C036A7F404,3
4,7C03844E8B2E0C7B4346D41028AB14E2,4
5,5CD3AC47318677DB42ED7391C821ABFA,5
6,54F4098AD6C3E94A524C1CFFE68E04E1,6
7,F2A8BF0F4EB185E6D2E5E1A0DF4C33AE,7
8,8B3771BEB4E3BE4427737C50033B91FC,8
9,9D9C2BC354011249F2D4D9B9C4205AC9,9
10,FBB188A3C1E05C41587AAAC00B5B1879,10
11,C81B8B0E32C17E5F74A9148D9259E1DE,11
12,7F76CEE1349EDB75F0D0EFA8E6434162,12
13,B18AB29D0C7C583BED98130199AA47DA,13
14,5D527E95036D95CB85B094C4A571C4F7,14
15,AD741205F6BAD7FFC0210BCA566C4BA5,15
16,D46353CA4A2283E1731E6CF7ADC85B32,16
17,8366347FF780E359A5F672C08E66BD49,17
18,8E368C0AFE5A649233214B7DE879D1EF,18
19,19E38BE27BE3C55DB1D7B256A9C95576,19
20,62BDF6115A75E53FAB212D6A2A41AD9F,20
21,0453109F91C2B551CEA2E254A749818B,21
22,C27ED7660642B564A187A0A598CD4ECB,22
23,01F835F65DE4F3096EE397159C8FCA6D,23
24,7F5FBFCF135C4655E119BB9EF4D0E742,24
25,D048F61A9281509CECE69ED097013F37,25
26,D713E5D6216B5891AB946B382C1C1FBB,26
27,6866DBF67EEF238FC104B49C70A6FBA8,27
28,4DC65AC7BD963DE1F7617C047C33DE99,28
29,B42A90E3ED77EE374B920D9A5303F53C,29
30,416B919C0DAA48D42FF6780574034149,30
31,6D12DBD6EEFE0117BB033826B3D237C6,31
32,E484B840498874791F0054B4A7E29545,32
33,1DE4C0A78451A8E543239F21DFAC9F09,33
34,790D519ED5D869AB368026BBAD8BB5CF,34
35,9B3AC90AD4E07C87644396FDC98A6A6E,35
36,CEF920551E99FA0B76F09AC1AE1562B2,36
37,C3EB50B9ABF20C389E2A2869D925A840,37
38,A9DAB08351D94BDE86235B37D6E8C61D,38
39,FE036351A95ABC3827A499067C340755,39
40,8A800256378089EF53C6F655F8690490,40
41,F70A54935E38B4E65D1B790BAE61A2E6,41
42,B809CC3387A227C3D0E4AE74CDDA3FC7,42
43,5E7B319067F08F4AC58F3610E2238AA8,43
44,4F0721594E4D39E2ABB544EB952BCCF3,44
45,E63288F7FF3B3E3AA8E06FCE9AC53259,45
46,15D23739F221E2112DA2FE5074C28A62,46
47,5334BB857D17C6481A69CB45B7CC11A2,47
48,2B5C0649A1D17FAFB71DCA3A6F84F601,48
49,128A1B98ECF91F71A470C4DCF2359197,49
50,D3B92D22DAE597B76DD27A402B75AD85,50
51,638E38FE938352BEFF6986F18F83ACCA,51
52,196D1D4D76E0964AC10306BEFBBE7C1B,52
53,AE0E2E1AAF3DC37CEB7353741E1C859C,53
54,456C285C8A4F4BBA3392D76A0A910516,54
55,AE7F3DA35832DD67B71D74467CC355C4,55
56,496609F54C3E79F960FE08AF9002FCD6,56
57,F412ADA3150F20402D4C57C70F5DB4CA,57
58,1449653CF0D9623AC56E4A0BC4A9C7E8,58
59,014363E52FA9AFA64A5DA70D23F8FB12,59
60,9698F5EE8D82FC3983A49D2A72213B72,60
61,9F72E1D55670B14D3A1AAFAF6F04756F,61
62,F23573A3AC44C8A0762BCE6B0E8A85B8,62
63,2F2250C3D11C9F0C5ED1DC444F0601DB,63
64,EB9E88317E20005951FF93793BCC9431,64
65,B2798B679A2D71EFB31496DFF3ECE853,65
66,FFD1DBEB812F00F36A251E591891494C,66
67,C702473E0BE9D097D6205D3AC39C249E,67
68,C4A78909D64705CC8156725C897173C9,68
69,6E9887BEC7030112838A353A7FAC8838,69
70,BBA6EAA7EF77AD86EB62B8EA4D153710,70
71,CD05C337396C11E62C6D82AD360EB24D,71
72,9C294E85A697400A970D21DE0ADD3C2B,72
73,E6FCE23FA87FA71A3745FC6DAB012D0A,73
74,0906F3E9D72E5A660AAED943A2CAED6E,74
75,035AE5C90EE336B1EDBC69CB1B6C4AE4,75
76,8F715158E3E7D4AFD10117015E62B30C,76
77,12B0981201F18EFA48C86311E1843929,77
78,5EB308E736CD3F352BF17B24C2A4EFA8,78
79,86E6FC6DBE0000400E1B072B6C659D00,79
80,75EFD9B962265E9DF8E6EBD0718AA7CB,80
81,F00B2FACF1DCC371829D52515453354A,81
82,817701BF9E8A5F431BE6C3F06F3FEB8C,82
83,2932F62E3657CDC2444EBB19667C7BBD,83
84,ACCE954B2E43375C611ECC53210BECA7,84
